French,English
partie,part
histoire,history
seulement,only
police,police
pensais,thought
aide,help
frère,brother
laisser,let
car,because
aucun,no
eux,them
ville,city
arrivé,come
heures,hours
revoir,meet again
aucune,any
place,square
parle,speak
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
pouvoir,power
vieux,old
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
venez,come
devant,in front of
vers,towards
minutes,minutes
droit,law
aimerais,would like to
enfin,finally
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
fin,end
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
